Placeholder Header,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample,Material,Atmosphere,Mass,Tube Diam,Pretreat_voltage,Pretreat_highest,Voltage,PulseTime,Res_Volt,Cap,Init_R,Fin_R,Volt_Drop,Res_Drop,Yield,Yield_Per,I_Max,I_Mean,Charge_Tot,PulseTime_I,I_Final,Maxima,Graphene_Yield,TwoDtoG,DtoG,FWHM 2D
99,PA,vac,358,8,260,110,198,227,44.4,150,6.5,0.9,153.6,5.6,264,73.74301676,349.5956,97.06090198,20.3191755,0.2107,22.71438723,2,0.777777778,0.642061747,0.546828658,45.49770512
100,PA,vac,257,8,264,66,189,203,79.8,114,4.9,1.2,109.2,3.7,164,63.81322957,259.0329,77.48450526,14.39221959,0.18655,30.41561566,2,0.434343434,0.608647007,0.501244977,42.84648499
101,PA,vac,302,8,220,105,211,187,78.2,168,6.8,0.8,132.8,6,206,68.21192053,332.018,109.7418426,18.92432174,0.17385,30.37576044,2,0.828282828,0.720485768,0.461906635,42.77824138
102,PA,vac,237,8,200,100,189,332,62.7,150,4.7,0.5,126.3,4.2,172,72.57383966,331.2538,53.4612124,16.7755566,0.3165,13.92074429,1,0.848484848,0.730784567,0.47906472,43.30691587
103,PA,vac,313,8,160,95,183,190,43.2,96,6.6,0.9,139.8,5.7,235,75.0798722,269.3502,107.2120898,18.53651202,0.17415,24.83294753,1,0.737373737,0.686696846,0.465397476,40.15321456
104,PA,vac,222,8,290,130,215,178,25.1,114,3.8,0.8,189.9,3,123,55.40540541,500.5334,158.5534565,25.06667066,0.15855,16.62857134,1,0.727272727,0.666167402,0.46070826,45.32832978
105,PA,vac,233,8,240,100,195,190,35.5,168,5.1,0.9,159.5,4.2,106,45.49356223,352.6526,89.56520359,17.21837675,0.1934,21.56325071,2,0.494949495,0.567609087,0.558003286,43.45106867
106,PA,vac,269,8,225,90,194,253,58.7,132,4.5,1,135.3,3.5,116,43.12267658,346.5386,158.7493305,18.23179646,0.11555,17.01466541,2,0.828282828,0.662004882,0.498995071,41.76913936
107,PA,vac,270,8,195,65,181,277,49.8,186,4.9,0.7,131.2,4.2,188,69.62962963,274.3177,84.85849975,21.68929443,0.2566,29.67713062,6,0.808080808,0.735075489,0.462056027,45.29518596
108,PA,vac,292,8,300,115,203,164,71.2,96,7.3,0.8,131.8,6.5,178,60.95890411,353.4168,116.288323,17.09973157,0.1482,21.36351711,3,0.626262626,0.700137608,0.425723857,41.98832982
109,PA,vac,267,8,190,120,216,301,72.8,96,4.9,0.7,143.2,4.2,168,62.92134831,458.8822,66.81713846,18.63814394,0.28175,19.10754716,2,0.757575758,0.720058399,0.485655574,41.95789618
110,PA,vac,277,8,320,80,207,155,132.5,114,5.7,1.3,74.5,4.4,224,80.86642599,355.7095,73.16774678,9.97584798,0.13735,28.49026579,2,0.616161616,0.559496796,0.552659705,44.17688475
